Table of comparison: structured rectangle, structured triangle, analytic
Contains entries for each method in form T/T0

Node      rect      tri       analytic 
1         0         0         0        
2         0         0         0        
3         0         0         0        
4         0         0         0        
5         0         0         0        
6         0         0         0        
7         0         0         0        
8         0         0         0        
9         0         0         0        
10        0         0         0        
11        0         0         0        
12        0         0         0        
13        0         0         0        
14        0         0         0        
15        0         0         0        
16        0         0         0        
17        0         0         0        
18        0.048214  -1.7928   0.042729 
19        0.047982  -1.7842   0.042523 
20        0.047288  -1.7583   0.041908 
21        0.046138  -1.7156   0.040889 
22        0.044544  -1.6563   0.039477 
23        0.042521  -1.5811   0.037684 
24        0.040088  -1.4907   0.035528 
25        0.03727   -1.3858   0.03303  
26        0.034092  -1.2677   0.030214 
27        0.030587  -1.1373   0.027107 
28        0.026786  -0.99602  0.023739 
29        0.022728  -0.84512  0.020142 
30        0.018451  -0.68607  0.016352 
31        0.013996  -0.52042  0.012404 
32        0.0094061 -0.34976  0.008336 
33        0.0047258 -0.17572  0.0041882
34        0         0         2.6164e-18
35        0.096738  -0.13247  0.08587  
36        0.096272  -0.13183  0.085457 
37        0.094879  -0.12993  0.08422  
38        0.092572  -0.12677  0.082173 
39        0.089374  -0.12239  0.079334 
40        0.085315  -0.11683  0.075731 
41        0.080435  -0.11015  0.071399 
42        0.074779  -0.1024   0.066379 
43        0.068404  -0.093671 0.06072  
44        0.06137   -0.084039 0.054476 
45        0.053745  -0.073597 0.047707 
46        0.045602  -0.062446 0.040479 
47        0.03702   -0.050694 0.032861 
48        0.028082  -0.038454 0.024927 
49        0.018873  -0.025844 0.016752 
50        0.009482  -0.012984 0.0084168
51        0         0         5.258e-18
52        0.14588   1.783     0.12984  
53        0.14518   1.7744    0.12921  
54        0.14308   1.7487    0.12735  
55        0.1396    1.7062    0.12425  
56        0.13478   1.6473    0.11996  
57        0.12866   1.5725    0.11451  
58        0.1213    1.4825    0.10796  
59        0.11277   1.3783    0.10037  
60        0.10316   1.2608    0.091811 
61        0.092548  1.1311    0.08237  
62        0.081049  0.99059   0.072135 
63        0.068769  0.8405    0.061206 
64        0.055827  0.68233   0.049688 
