Table of comparison: unstructured triangle vs analytic
Contains entries in form T/T0

Node      triangle  analytic 
1         0.033039  0.03304  
2         0         0        
3         0         0        
4         0.03953   0.039534 
5         0.066277  0.066271 
6         0         0        
7         0.034253  0.034228 
8         0.080007  0.080005 
9         0         0        
10        0.032621  0.03262  
11        0         0        
12        0.063577  0.063561 
13        0.030284  0.030275 
14        0.10117   0.10116  
15        0         0        
16        0.06914   0.069145 
17        0.02851   0.028503 
18        0         0        
19        0.11561   0.1156   
20        0.061558  0.061531 
21        0.026865  0.026858 
22        0         0        
23        0.094393  0.094377 
24        0.05818   0.058169 
25        0.025248  0.025241 
26        0.1367    0.13668  
27        0         0        
28        0.055072  0.055061 
29        0.023618  0.023612 
30        0.089753  0.089728 
31        0.10789   0.10786  
32        0         0        
33        0.051968  0.051956 
34        0.15174   0.15172  
35        0.08849   0.088492 
36        0.021943  0.021936 
37        0         0        
38        0.12985   0.12982  
39        0.048828  0.048815 
40        0.084487  0.084477 
41        0.020195  0.020189 
42        0.17308   0.17305  
43        0         0        
44        0.04559   0.045578 
45        0.08007   0.080054 
46        0.12131   0.12127  
47        0.018362  0.018356 
48        0         0        
49        0.042205  0.042193 
50        0.14309   0.14308  
51        0.075565  0.075548 
52        0.18882   0.18878  
53        0.016438  0.016433 
54        0.11557   0.11554  
55        0         0        
56        0.038642  0.038631 
57        0.16603   0.16599  
58        0.070908  0.07089  
59        0.10971   0.10969  
60        0.014425  0.01442  
61        0.21054   0.21049  
62        0         0        
63        0.034889  0.034879 
64        0.066014  0.065997 
65        0.10388   0.10386  
66        0.15542   0.15541  
67        0.01233   0.012325 
68        0.14877   0.14877  
69        0         0        
70        0.030949  0.030939 
71        0.060838  0.060822 
72        0.17841   0.17836  
73        0.097918  0.097896 
74        0.22714   0.22709  
75        0.010165  0.010159 
76        0.14114   0.14111  
77        0         0        
78        0.026835  0.026825 
79        0.055362  0.055346 
80        0.20338   0.20333  
81        0.091642  0.09162  
82        0.0079393 0.0079293
83        0.13393   0.13391  
84        0.2493    0.24925  
85        0         0        
86        0.022565  0.022556 
87        0.049586  0.049572 
88        0.18635   0.18634  
89        0.084972  0.084951 
90        0.12669   0.12667  
91        0.0056327 0.0056203
92        0.17433   0.17428  
93        0         0        
94        0.018168  0.018157 
95        0.04353   0.043517 
96        0.077879  0.077858 
97        0.21592   0.21587  
98        0.26695   0.2669   
99        0.11913   0.1191   
100       0.00326   0.003249 
101       0.16588   0.16586  
102       0         0        
103       0.013652  0.013633 
104       0.037224  0.037211 
105       0.24246   0.24241  
106       0.070364  0.070344 
107       0.11108   0.11105  
108       0.0012118 0.0012306
109       0         0        
110       0.15737   0.15734  
111       0.28961   0.28955  
112       0         2.0995e-18
113       0.0088933 0.0088913
114       0.030693  0.030685 
115       0.20543   0.20539  
116       0.062447  0.06243  
117       0.10248   0.10245  
118       0.22855   0.22849  
119       0.0037571 0.0038138
120       0.14855   0.14852  
121       0.19989   0.19989  
122       0         4.2121e-18
123       0.02399   0.023987 
124       0.054171  0.054156 
125       0.093323  0.093298 
126       0.30841   0.30835  
127       0.25632   0.25627  
128       0.1392    0.13917  
129       0.0042044 0.0042041
